,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
0,1,Michael Dickerson,34.0,34.0,1079.0,8.6,20.9,0.412,6.6,14.8,0.446,2.0,6.2,0.331,4.5,6.3,0.712,5.7,1.9,1.4,0.1,3.2,3.4,23.8,arizona,1997
1,2,Miles Simon,23.0,16.0,730.0,7.8,17.1,0.455,5.3,11.0,0.483,2.5,6.1,0.405,5.2,6.9,0.754,5.2,5.3,1.7,0.2,4.4,2.7,23.2,arizona,1997
2,3,Jason Stewart,6.0,0.0,16.0,7.5,10.0,0.75,2.5,5.0,0.5,5.0,5.0,1.0,2.5,5.0,0.5,7.5,0.0,0.0,0.0,0.0,0.0,22.5,arizona,1997
3,4,Josh Pastner,8.0,0.0,26.0,6.2,13.8,0.444,4.6,9.2,0.5,1.5,4.6,0.333,4.6,6.2,0.75,4.6,9.2,0.0,0.0,6.2,3.1,18.5,arizona,1997
4,5,Mike Bibby,34.0,34.0,1110.0,5.4,12.2,0.445,3.0,6.1,0.497,2.4,6.1,0.394,3.2,4.6,0.701,3.9,6.4,2.7,0.3,3.6,2.8,16.5,arizona,1997
5,6,Jason Terry,34.0,18.0,1037.0,4.8,10.8,0.443,3.2,6.1,0.528,1.5,4.7,0.331,2.8,3.9,0.713,3.5,5.8,3.3,0.1,2.8,2.5,13.9,arizona,1997
6,7,Bennett Davison,34.0,29.0,961.0,5.1,10.2,0.5,5.1,10.2,0.5,0.0,0.0,,3.5,5.2,0.68,9.0,1.2,2.5,1.4,2.4,3.6,13.7,arizona,1997
7,8,Jason Lee,19.0,0.0,183.0,4.8,11.6,0.415,2.2,5.9,0.37,2.6,5.7,0.462,1.3,2.0,0.667,7.7,2.6,1.5,0.2,1.7,4.4,13.6,arizona,1997
8,9,A.J. Bramlett,33.0,28.0,788.0,5.5,10.4,0.529,5.5,10.3,0.532,0.0,0.1,0.0,2.5,4.8,0.526,11.6,1.0,1.3,1.1,2.5,5.3,13.5,arizona,1997
9,10,Eugene Edgerson,33.0,0.0,264.0,4.4,10.8,0.408,4.4,10.8,0.408,0.0,0.0,,4.7,11.5,0.408,18.5,0.9,2.4,0.8,3.0,7.9,13.5,arizona,1997
