,Rk,Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Team,Year
0,1,Michael Dickerson,34.0,34.0,31.7,6.9,16.6,0.412,5.2,11.7,0.446,1.6,4.9,0.331,3.6,5.0,0.712,,,4.5,1.5,1.1,0.1,2.5,2.7,18.9,arizona,1997
1,2,Miles Simon,23.0,16.0,31.7,6.2,13.6,0.455,4.2,8.7,0.483,2.0,4.8,0.405,4.1,5.5,0.754,,,4.1,4.2,1.3,0.2,3.5,2.1,18.4,arizona,1997
2,3,Mike Bibby,34.0,34.0,32.6,4.4,10.0,0.445,2.5,5.0,0.497,2.0,5.0,0.394,2.6,3.7,0.701,,,3.2,5.2,2.2,0.2,2.9,2.3,13.5,arizona,1997
3,4,Jason Terry,34.0,18.0,30.5,3.6,8.2,0.443,2.5,4.7,0.528,1.2,3.6,0.331,2.1,3.0,0.713,,,2.7,4.4,2.5,0.1,2.1,1.9,10.6,arizona,1997
4,5,Bennett Davison,34.0,29.0,28.3,3.6,7.2,0.5,3.6,7.2,0.5,0.0,0.0,,2.5,3.7,0.68,,,6.4,0.9,1.7,1.0,1.7,2.6,9.7,arizona,1997
5,6,A.J. Bramlett,33.0,28.0,23.9,3.3,6.2,0.529,3.3,6.2,0.532,0.0,0.0,0.0,1.5,2.9,0.526,,,6.9,0.6,0.8,0.7,1.5,3.2,8.1,arizona,1997
6,7,Donnell Harris,33.0,11.0,18.2,2.3,4.8,0.484,2.3,4.8,0.484,0.0,0.0,,1.3,2.3,0.579,,,5.8,0.5,0.6,0.7,1.0,3.1,5.9,arizona,1997
7,8,Jason Lee,19.0,0.0,9.6,1.2,2.8,0.415,0.5,1.4,0.37,0.6,1.4,0.462,0.3,0.5,0.667,,,1.8,0.6,0.4,0.1,0.4,1.1,3.3,arizona,1997
8,9,Eugene Edgerson,33.0,0.0,8.0,0.9,2.2,0.408,0.9,2.2,0.408,0.0,0.0,,0.9,2.3,0.408,,,3.7,0.2,0.5,0.2,0.6,1.6,2.7,arizona,1997
9,10,Josh Pastner,8.0,0.0,3.3,0.5,1.1,0.444,0.4,0.8,0.5,0.1,0.4,0.333,0.4,0.5,0.75,,,0.4,0.8,0.0,0.0,0.5,0.3,1.5,arizona,1997
10,11,Jason Stewart,6.0,0.0,2.7,0.5,0.7,0.75,0.2,0.3,0.5,0.3,0.3,1.0,0.2,0.3,0.5,,,0.5,0.0,0.0,0.0,0.0,0.0,1.5,arizona,1997
11,12,John Ash,9.0,0.0,2.3,0.1,0.3,0.333,0.1,0.3,0.333,0.0,0.0,,0.1,0.2,0.5,,,0.2,0.2,0.1,0.0,0.1,0.3,0.3,arizona,1997
0,1,Danya Abrams,30.0,30.0,34.0,4.6,10.5,0.443,4.5,10.2,0.443,0.1,0.3,0.444,7.0,9.6,0.732,,,8.2,1.6,1.0,0.6,3.5,3.3,16.4,boston college,1997
1,2,Scoonie Penn,26.0,25.0,34.1,4.2,10.4,0.402,2.3,4.7,0.488,1.9,5.7,0.331,2.8,3.6,0.777,,,3.2,3.1,2.0,0.0,2.4,1.9,13.1,boston college,1997
2,3,Duane Woodward,31.0,31.0,34.3,3.4,8.1,0.421,2.0,4.4,0.46,1.4,3.7,0.374,2.5,3.5,0.722,,,3.3,3.9,1.7,0.2,2.4,2.5,10.7,boston college,1997
3,4,Antonio Granger,31.0,31.0,24.7,3.6,8.3,0.432,1.8,3.9,0.459,1.8,4.4,0.407,1.1,1.8,0.636,,,4.1,0.7,0.6,0.2,1.3,1.7,10.1,boston college,1997
4,5,Mickey Curley,31.0,22.0,23.3,3.5,6.2,0.565,3.5,6.2,0.565,0.0,0.0,,1.3,2.1,0.641,,,4.9,0.6,0.7,1.2,1.5,2.9,8.3,boston college,1997
5,6,Bevan Thomas,30.0,0.0,14.4,2.0,4.0,0.504,1.7,3.1,0.554,0.3,0.9,0.333,1.2,1.7,0.692,,,2.5,0.5,0.2,0.1,1.1,1.0,5.5,boston college,1997
6,7,Kostas Maglos,21.0,0.0,12.0,2.0,3.3,0.623,2.0,3.2,0.632,0.0,0.0,0.0,0.8,1.4,0.567,,,3.7,0.3,0.3,0.5,0.6,2.1,4.9,boston college,1997
7,8,Andy Bedard,31.0,5.0,18.0,1.5,3.5,0.413,0.9,1.9,0.45,0.6,1.6,0.367,0.7,1.1,0.697,,,1.9,1.9,0.6,0.0,1.4,1.8,4.2,boston college,1997
8,9,Keenan Jourdan,31.0,10.0,14.4,1.3,3.2,0.404,1.1,2.7,0.4,0.2,0.5,0.429,1.2,1.8,0.632,,,3.5,0.8,0.7,0.1,1.3,1.9,3.9,boston college,1997
9,10,Brad Christianson,20.0,0.0,5.4,0.5,1.2,0.435,0.3,0.8,0.4,0.2,0.4,0.5,0.2,0.3,0.5,,,0.9,0.5,0.1,0.1,0.4,0.3,1.4,boston college,1997
10,11,Pat Bosworth,8.0,0.0,1.8,0.3,0.5,0.5,0.1,0.4,0.333,0.1,0.1,1.0,0.3,0.3,1.0,,,0.3,0.4,0.5,0.0,0.1,0.1,0.9,boston college,1997
11,12,Damien Foster,10.0,0.0,3.1,0.4,1.0,0.4,0.4,0.7,0.571,0.0,0.3,0.0,0.1,0.2,0.5,,,0.4,0.0,0.1,0.0,0.2,0.2,0.9,boston college,1997
12,13,Nate Fox,8.0,0.0,3.1,0.4,0.8,0.5,0.3,0.5,0.5,0.1,0.3,0.5,0.0,0.0,,,,0.9,0.3,0.0,0.1,0.0,0.1,0.9,boston college,1997
0,1,Tunji Awojobi,27.0,,34.8,7.0,13.9,0.503,6.8,13.3,0.514,0.2,0.7,0.278,5.3,7.0,0.755,,,10.2,1.7,1.5,2.6,2.4,,19.4,boston university,1997
1,2,Joey Beard,30.0,,30.7,4.4,7.5,0.58,4.4,7.5,0.58,0.0,0.0,,3.3,5.1,0.651,,,7.9,0.8,1.1,1.1,,,12.0,boston university,1997
2,3,Levar Folk,30.0,,35.6,4.0,11.9,0.336,2.6,6.4,0.404,1.4,5.5,0.256,1.3,2.2,0.606,,,3.3,4.8,1.7,0.2,,,10.7,boston university,1997
3,4,James Schwartz,30.0,,33.5,3.5,9.1,0.383,1.9,3.9,0.491,1.6,5.3,0.304,2.1,2.8,0.741,,,3.7,3.6,1.1,0.0,,,10.7,boston university,1997
4,5,Billy Beal,30.0,,18.3,1.9,5.3,0.35,0.6,1.7,0.373,1.2,3.6,0.339,0.5,0.8,0.64,,,1.6,0.9,0.5,0.2,,,5.5,boston university,1997
5,6,Mike Costello,30.0,,18.8,1.6,4.5,0.353,0.5,1.3,0.4,1.1,3.2,0.333,0.2,0.3,0.75,,,1.5,0.8,0.5,0.0,,,4.5,boston university,1997
6,7,Yusef Delayeffitte,29.0,,12.8,1.3,2.1,0.639,1.3,2.1,0.639,0.0,0.0,,0.9,1.6,0.543,,,3.0,0.2,0.2,0.4,,,3.6,boston university,1997
7,8,B.J. Fearrington,30.0,,15.5,0.7,1.6,0.429,0.7,1.4,0.488,0.0,0.3,0.125,0.2,0.6,0.263,,,1.8,2.1,1.0,0.0,,,1.6,boston university,1997
8,9,Jean Avebe,26.0,,,0.5,1.0,0.444,0.4,1.0,0.423,0.0,0.0,1.0,0.3,0.4,0.727,,,1.6,0.1,0.2,0.2,,,1.3,boston university,1997
9,10,Peter Scott,8.0,,,0.4,0.6,0.6,0.4,0.5,0.75,0.0,0.1,0.0,0.0,0.0,,,,0.6,0.0,0.0,0.0,,,0.8,boston university,1997
10,11,Alexi Giannoulias,7.0,,,0.1,0.7,0.2,0.1,0.7,0.2,0.0,0.0,,0.0,0.0,,,,0.3,0.0,0.0,0.0,,,0.3,boston university,1997
0,1,Jon Neuhouser,33.0,33.0,31.6,5.8,12.3,0.477,4.6,9.1,0.51,1.2,3.2,0.381,2.4,3.9,0.617,,,5.6,1.8,1.0,0.2,2.3,2.0,15.3,butler,1997
1,2,Kelsey Wilson,31.0,30.0,25.4,4.8,11.5,0.417,3.4,7.9,0.426,1.4,3.6,0.396,3.0,3.8,0.773,,,3.1,0.9,1.5,0.5,1.7,2.2,13.9,butler,1997
2,3,Matthew Graves,31.0,3.0,19.0,3.1,7.8,0.402,1.3,3.1,0.406,1.9,4.7,0.4,1.7,2.1,0.818,,,2.1,0.9,0.5,0.0,0.9,1.2,9.9,butler,1997
3,4,Jeff Rogers,31.0,31.0,29.4,2.1,5.7,0.371,1.8,4.5,0.403,0.3,1.3,0.256,2.7,3.5,0.769,,,2.8,5.2,1.1,0.1,3.2,2.3,7.3,butler,1997
4,5,Rolf van Rijn,33.0,32.0,23.6,2.4,4.4,0.542,2.4,4.4,0.542,0.0,0.0,,2.1,3.6,0.576,,,4.7,0.3,0.2,1.9,1.6,2.8,6.8,butler,1997
